Date(UTC),Gas Fees (Wei),Gas Fees(Ethereum),Ethereum(USD),Gas Price (USD)
7-30-2015,0,0,0,0
7-31-2015,0,0,0,0
08-01-2015,0,0,0,0
08-02-2015,0,0,0,0
08-03-2015,0,0,0,0
08-04-2015,0,0,0,0
08-05-2015,0,0,0,0
08-06-2015,0,0,0,0
08-07-2015,6.05E+11,6.05E-07,2.77,1.67E-06
08-08-2015,3.23E+11,3.23E-07,0.81,2.61E-07
08-09-2015,4.75E+11,4.75E-07,0.74,3.52E-07
08-10-2015,4.22E+11,4.22E-07,0.68,2.87E-07
08-11-2015,77838819162,7.78E-08,1.06,8.25E-08
08-12-2015,4.45E+11,4.45E-07,1.25,5.56E-07
8-13-2015,2.69E+11,2.69E-07,1.78,4.78E-07
8-14-2015,1.93E+11,1.93E-07,1.8,3.48E-07
8-15-2015,1.44E+11,1.44E-07,1.79,2.58E-07
8-16-2015,1.21E+11,1.21E-07,1.37,1.66E-07
8-17-2015,1.32E+11,1.32E-07,1.2,1.59E-07
8-18-2015,1.47E+11,1.47E-07,1.27,1.86E-07
8-19-2015,1.95E+11,1.95E-07,1.26,2.45E-07
8-20-2015,99011782801,9.90E-08,1.48,1.47E-07
8-21-2015,79543407701,7.95E-08,1.44,1.15E-07
8-22-2015,5.53E+11,5.53E-07,1.39,7.68E-07
8-23-2015,73439482806,7.34E-08,1.35,9.91E-08
8-24-2015,92409814705,9.24E-08,1.24,1.15E-07
8-25-2015,76432335617,7.64E-08,1.17,8.94E-08
8-26-2015,60481160549,6.05E-08,1.16,7.02E-08
8-27-2015,59307091958,5.93E-08,1.13,6.70E-08
8-28-2015,92879907335,9.29E-08,1.3,1.21E-07
8-29-2015,56211090684,5.62E-08,1.18,6.63E-08
8-30-2015,55155494457,5.52E-08,1.32,7.28E-08
8-31-2015,58423521569,5.84E-08,1.35,7.89E-08
09-01-2015,56671549652,5.67E-08,1.35,7.65E-08
09-02-2015,59243651401,5.92E-08,1.29,7.64E-08
09-03-2015,55051483461,5.51E-08,1.26,6.94E-08
09-04-2015,58779015464,5.88E-08,1.27,7.46E-08
09-05-2015,54768144366,5.48E-08,1.37,7.50E-08
09-06-2015,55089818552,5.51E-08,1.3,7.16E-08
09-07-2015,53594260637,5.36E-08,1.24,6.65E-08
09-08-2015,64932639811,6.49E-08,1.23,7.99E-08
09-09-2015,53779997784,5.38E-08,1.21,6.51E-08
09-10-2015,54630657670,5.46E-08,1.16,6.34E-08
09-11-2015,55713802958,5.57E-08,0.98,5.46E-08
09-12-2015,61830202468,6.18E-08,1.04,6.43E-08
9-13-2015,52313524792,5.23E-08,0.94,4.92E-08
9-14-2015,53772389657,5.38E-08,0.87,4.68E-08
9-15-2015,53191101494,5.32E-08,0.94,5.00E-08
9-16-2015,1.12E+11,1.12E-07,0.9,1.00E-07
9-17-2015,55637920883,5.56E-08,0.89,4.95E-08
9-18-2015,55703151966,5.57E-08,0.85,4.73E-08
9-19-2015,51639660974,5.16E-08,0.89,4.60E-08
9-20-2015,52910345407,5.29E-08,0.94,4.97E-08
9-21-2015,51171380285,5.12E-08,0.9,4.61E-08
9-22-2015,51465441496,5.15E-08,0.9,4.63E-08
9-23-2015,51732832046,5.17E-08,0.9,4.66E-08
9-24-2015,54262646753,5.43E-08,0.81,4.40E-08
9-25-2015,52300197415,5.23E-08,0.74,3.87E-08
9-26-2015,55315658061,5.53E-08,0.78,4.31E-08
9-27-2015,51025979902,5.10E-08,0.72,3.67E-08
9-28-2015,52683661382,5.27E-08,0.59,3.11E-08
9-29-2015,55437141860,5.54E-08,0.68,3.77E-08
9-30-2015,51461473059,5.15E-08,0.72,3.71E-08
10-01-2015,51474669294,5.15E-08,0.68,3.50E-08
10-02-2015,52567714347,5.26E-08,0.68,3.57E-08
10-03-2015,52502578427,5.25E-08,0.69,3.62E-08
10-04-2015,50733256095,5.07E-08,0.67,3.40E-08
10-05-2015,50742818443,5.07E-08,0.63,3.20E-08
10-06-2015,51375494165,5.14E-08,0.66,3.39E-08
10-07-2015,51181314265,5.12E-08,0.61,3.12E-08
10-08-2015,56971870131,5.70E-08,0.62,3.53E-08
10-09-2015,61962572208,6.20E-08,0.65,4.03E-08
10-10-2015,64893302980,6.49E-08,0.63,4.09E-08
10-11-2015,56318375319,5.63E-08,0.63,3.55E-08
10-12-2015,51359902694,5.14E-08,0.63,3.24E-08
10-13-2015,53219625156,5.32E-08,0.6,3.19E-08
10-14-2015,57976429615,5.80E-08,0.51,2.96E-08
10-15-2015,54823147993,5.48E-08,0.56,3.07E-08
10-16-2015,53404946237,5.34E-08,0.53,2.83E-08
10-17-2015,53619552703,5.36E-08,0.55,2.95E-08
10-18-2015,52006592112,5.20E-08,0.52,2.70E-08
10-19-2015,52456819761,5.25E-08,0.49,2.57E-08
10-20-2015,53767556518,5.38E-08,0.44,2.37E-08
10-21-2015,53588794315,5.36E-08,0.44,2.36E-08
10-22-2015,57253941421,5.73E-08,0.59,3.38E-08
10-23-2015,51207267003,5.12E-08,0.52,2.66E-08
10-24-2015,50749518370,5.07E-08,0.57,2.89E-08
10-25-2015,51635339670,5.16E-08,0.65,3.36E-08
10-26-2015,54585998170,5.46E-08,0.74,4.04E-08
10-27-2015,53525777571,5.35E-08,0.87,4.66E-08
10-28-2015,54787998286,5.48E-08,1.01,5.53E-08
10-29-2015,52364630378,5.24E-08,1.16,6.07E-08
10-30-2015,54017718700,5.40E-08,1.04,5.62E-08
10-31-2015,53753181787,5.38E-08,0.89,4.78E-08
11-01-2015,50751088484,5.08E-08,1.05,5.33E-08
11-02-2015,53162663704,5.32E-08,0.96,5.10E-08
11-03-2015,51578536572,5.16E-08,1,5.16E-08
11-04-2015,52243136362,5.22E-08,0.87,4.55E-08
11-05-2015,52990311400,5.30E-08,0.89,4.72E-08
11-06-2015,52184810513,5.22E-08,0.92,4.80E-08
11-07-2015,51944373853,5.19E-08,0.92,4.78E-08
11-08-2015,52414324288,5.24E-08,1.02,5.35E-08
11-09-2015,51918274052,5.19E-08,1,5.19E-08
11-10-2015,52237284910,5.22E-08,0.92,4.81E-08
